id,fecha,año,mes,día,hora,hh,dirección,tipo de calle,comuna,xy (caba),pos x,pos y,participantes,acusado,rol acusado,n_victimas,victima,sexo,edad,fecha fallecimiento,día semana,barrios
2016-0001,2016-01-01,2016,1,1,04:00:00,4.0,"piedra buena av. y fernandez de la cruz, f., gral. av.",avenida,8,point (98896.78238426 93532.43437792),-58.47533969,-34.68757022,moto-auto,auto,conductor,1,moto,masculino,19.0,2016-01-01,viernes,villa lugano - villa riachuelo - villa soldati
2016-0004,2016-01-10,2016,1,10,00:00:00,0.0,"larrazabal av. y villegas, conrado, gral.",avenida,8,point (99840.65224780 94269.16534422),-58.46503904,-34.68092974,moto-sd,,conductor,1,moto,masculino,18.0,,domingo,villa lugano - villa riachuelo - villa soldati
2016-0008,2016-01-24,2016,1,24,18:30:00,18.0,27 de febrero av. y escalada av.,avenida,8,point (101721.59002217 93844.25656649),-58.44451316,-34.68475866,moto-objeto fijo,objeto fijo,conductor,1,moto,masculino,30.0,2016-01-24,domingo,villa lugano - villa riachuelo - villa soldati
2016-0017,2016-02-15,2016,2,15,16:54:00,16.0,"acosta, mariano y janer, ana maria",avenida,8,point (101228.61094416 96623.72136186),-58.44989671,-34.65970435,peaton-moto,moto,peaton,1,peaton,masculino,59.0,2016-02-16,lunes,villa lugano - villa riachuelo - villa soldati
2016-0025,2016-02-28,2016,2,28,04:50:00,4.0,"paz, gral. av. y 27 de febrero av.",gral paz,8,point (100077.95205948 91571.23307293),-58.46244952,-34.70524971,auto-auto,auto,pasajero_acompañante,1,auto,masculino,34.0,2016-02-28,domingo,villa lugano - villa riachuelo - villa soldati
2016-0031,2016-03-08,2016,3,8,12:30:00,12.0,"paz, gral. av. y roca, cnel. av.",gral paz,8,point (99327.01838497 92326.91130631),-58.47064556,-34.69843756,moto-pasajeros,pasajeros,conductor,1,moto,masculino,21.0,,martes,villa lugano - villa riachuelo - villa soldati
2016-0038,2016-03-21,2016,3,21,08:06:00,8.0,"paz, gral. av. y zuviria",gral paz,8,point (96926.79887463 94490.76318635),-58.49683458,-34.67892743,peaton-pasajeros,pasajeros,peaton,1,peaton,masculino,29.0,2016-03-21,lunes,villa lugano - villa riachuelo - villa soldati
2016-0043,2016-03-30,2016,3,30,18:15:00,18.0,"dellepiane, luis, tte. gral. y murguiondo",avenida,8,point (98623.04338909 94933.06478837),-58.47832463,-34.67494416,peaton-cargas,cargas,peaton,1,peaton,femenino,56.0,2016-03-30,miércoles,villa lugano - villa riachuelo - villa soldati
2016-0050,2016-04-19,2016,4,19,09:50:00,9.0,"gordillo, timoteo y fernandez de la cruz, f., gral. av.",avenida,8,point (99106.14718950 93761.32882893),-58.47305463,-34.68550712,peaton-pasajeros,pasajeros,peaton,1,peaton,masculino,78.0,2016-04-19,martes,villa lugano - villa riachuelo - villa soldati
2016-0054,2016-04-23,2016,4,23,21:00:00,21.0,"autopista dellepiane luis tte. gral. y paz, gral. av.",autopista,8,point (97832.57143731 93489.83736533),-58.48695354,-34.68795245,moto-moto,moto,conductor,1,moto,masculino,30.0,2016-04-25,sábado,villa lugano - villa riachuelo - villa soldati
2016-0067,2016-05-21,2016,5,21,17:00:00,17.0,"de la torre, lisandro y saraza",avenida,8,point (98052.13008621 94912.60873025),-58.48455411,-34.67512760,moto-pasajeros,pasajeros,pasajero_acompañante,1,moto,femenino,30.0,,sábado,villa lugano - villa riachuelo - villa soldati
