,id_hecho,fecha,rol,victima,sexo,edad,fecha_fallecimiento
0,2016-0001,2016-01-01,conductor,moto,M,19.0,2016-01-01
1,2016-0002,2016-01-02,conductor,auto,M,70.0,2016-01-02
2,2016-0003,2016-01-03,conductor,moto,M,30.0,2016-01-03
3,2016-0004,2016-01-10,conductor,moto,M,18.0,
4,2016-0005,2016-01-21,conductor,moto,M,29.0,2016-02-01
5,2016-0008,2016-01-24,conductor,moto,M,30.0,2016-01-24
6,2016-0009,2016-01-24,pasajero,moto,M,29.0,2016-01-26
7,2016-0010,2016-01-29,conductor,moto,M,18.0,2016-01-29
8,2016-0012,2016-02-08,conductor,moto,M,22.0,2016-02-08
9,2016-0013,2016-02-10,peaton,peaton,M,16.0,2016-02-10
10,2016-0015,2016-02-14,peaton,peaton,F,16.0,2016-02-14
11,2016-0016,2016-02-14,pasajero,moto,F,19.0,2016-02-14
12,2016-0017,2016-02-15,peaton,peaton,M,59.0,2016-02-16
13,2016-0019,2016-02-17,peaton,peaton,F,65.0,2016-02-17
14,2016-0020,2016-02-17,peaton,peaton,M,59.0,2016-03-02
15,2016-0021,2016-02-17,conductor,auto,M,34.0,2016-02-17
16,2016-0022,2016-02-21,pasajero,moto,M,41.0,
17,2016-0025,2016-02-28,pasajero,auto,M,34.0,2016-02-28
18,2016-0026,2016-02-28,conductor,auto,M,30.0,2016-03-04
19,2016-0027,2016-02-28,pasajero,auto,M,34.0,
20,2016-0028,2016-03-02,peaton,peaton,M,50.0,2016-03-02
21,2016-0029,2016-03-04,peaton,peaton,M,38.0,2016-03-04
22,2016-0031,2016-03-08,conductor,moto,M,21.0,
23,2016-0034,2016-03-12,peaton,peaton,M,52.0,2016-03-12
24,2016-0035,2016-03-13,conductor,moto,M,34.0,2016-03-13
25,2016-0036,2016-03-14,pasajero,moto,M,36.0,2016-03-14
26,2016-0037,2016-03-19,conductor,moto,M,20.0,2016-03-19
27,2016-0038,2016-03-21,peaton,peaton,M,29.0,2016-03-21
28,2016-0039,2016-03-23,conductor,moto,M,20.0,2016-03-23
29,2016-0041,2016-03-29,conductor,moto,M,54.0,2016-03-29
